"customer_id","customer_name","recency_days","frequency","monetary_value","r_score","f_score","m_score","rfm_str","customer_segment"
"IM-15055","Ionia McGrath","410","3","2872.63","1","1","3","113","Hibernation"
"KC-16255","Karen Carlisle","408","6","2120.95","1","2","2","122","Hibernation"
"TT-21265","Tim Taslimi","407","3","439.5","1","1","1","111","Hibernation"
"NP-18685","Nora Pelletier","407","6","1228.7","1","2","2","122","Hibernation"
"EH-13990","Erica Hackney","406","6","825.9499999999999","1","2","1","121","Hibernation"
"JH-16180","Justin Hirsh","405","4","2256.39","1","1","2","112","Hibernation"
"CA-12055","Cathy Armstrong","402","5","1679.72","1","2","2","122","Hibernation"
"CD-12790","Cynthia Delaney","400","5","1860.74","1","2","2","122","Hibernation"
"MC-17425","Mark Cousins","400","5","4432.14","1","2","4","124","Hibernation"
"TC-20980","Tamara Chand","400","5","19052.22","1","2","4","124","Hibernation"
"JD-15895","Jonathan Doherty","395","11","7610.87","1","4","4","144","At Risk"
"LM-17065","Liz MacKendrick","392","5","1346.78","1","2","2","122","Hibernation"
"KT-16465","Kean Takahito","392","7","3057.1","1","3","3","133","At Risk"
"IM-15070","Irene Maddox","391","7","4930.49","1","3","4","134","At Risk"
"RF-19345","Randy Ferguson","391","8","3309.14","1","4","3","143","At Risk"
"GH-14485","Gene Hale","388","2","1361.24","1","1","2","112","Hibernation"
"PM-18940","Paul MacIntyre","387","3","1405.3999999999999","1","1","2","112","Hibernation"
"SP-20650","Stephanie Phelps","387","9","1872.43","1","4","2","142","At Risk"
"CM-12235","Chris McAfee","386","5","2305.71","1","2","3","123","Hibernation"
"LH-17155","Logan Haushalter","386","9","1739.69","1","4","2","142","At Risk"
"MH-17440","Mark Haberlin","377","4","400.02","1","1","1","111","Hibernation"
"MC-18130","Mike Caudle","370","5","1581.99","1","2","2","122","Hibernation"
"RC-19825","Roy Collins","370","6","966.4100000000001","1","2","1","121","Hibernation"
"CJ-11875","Carl Jackson","366","1","16.52","1","1","1","111","Hibernation"
"FW-14395","Fred Wasserman","363","3","79.75","1","1","1","111","Hibernation"
"DP-13390","Dennis Pardue","359","9","5480.73","1","4","4","144","At Risk"
"TS-21085","Thais Sissman","358","2","4.84","1","1","1","111","Hibernation"
"DA-13450","Dianna Arnett","353","4","156.76","1","1","1","111","Hibernation"
"TP-21565","Tracy Poddar","351","4","1936.62","1","1","2","112","Hibernation"
"TB-21250","Tim Brockman","350","7","1602.3700000000001","1","3","2","132","At Risk"
"SC-20095","Sanjit Chand","350","9","14142.34","1","4","4","144","At Risk"
"RM-19375","Raymond Messe","346","6","1453.47","1","2","2","122","Hibernation"
"TH-21100","Thea Hendricks","345","5","2422.83","1","2","3","123","Hibernation"
"CG-12520","Claire Gute","339","3","1148.78","1","1","2","112","Hibernation"
"TG-21310","Toby Gnade","338","5","3058.38","1","2","3","123","Hibernation"
"BT-11305","Beth Thompson","337","5","2567.66","1","2","3","123","Hibernation"
"BV-11245","Benjamin Venier","335","5","1523.28","1","2","2","122","Hibernation"
"BD-11770","Bryan Davis","328","6","658.46","1","2","1","121","Hibernation"
"SP-20545","Sibella Parks","328","6","1306.09","1","2","2","122","Hibernation"
"SV-20785","Stewart Visinsky","321","9","4105.32","1","4","4","144","At Risk"
"BM-11140","Becky Martin","308","4","11789.64","1","1","4","114","Hibernation"
"EJ-13720","Ed Jacobs","303","4","2162.18","1","1","2","112","Hibernation"
"RE-19450","Richard Eichhorn","303","5","876.6999999999999","1","2","1","121","Hibernation"
"BT-11395","Bill Tyler","303","6","2186.61","1","2","2","122","Hibernation"
"JD-16060","Julia Dunbar","301","3","695.4399999999999","1","1","1","111","Hibernation"
"RM-19750","Roland Murray","300","1","98.35","1","1","1","111","Hibernation"
"KB-16315","Karl Braun","297","9","1569.45","1","4","2","142","At Risk"
"KS-16300","Karen Seio","296","3","88.47","1","1","1","111","Hibernation"
"KD-16615","Ken Dana","290","5","2243.51","1","2","2","122","Hibernation"
"JK-15325","Jason Klamczynski","288","3","383.81","1","1","1","111","Hibernation"
"EN-13780","Edward Nazzal","288","4","2199.3599999999997","1","1","2","112","Hibernation"
"VG-21805","Vivek Grady","287","5","427.37","1","2","1","121","Hibernation"
"TB-21595","Troy Blackwell","286","5","1387.5700000000002","1","2","2","122","Hibernation"
"CL-12565","Clay Ludtke","285","12","10880.56","1","4","4","144","At Risk"
"AC-10660","Anna Chung","283","5","657.3100000000001","1","2","1","121","Hibernation"
"MZ-17515","Mary Zewe","283","6","2564.89","1","2","3","123","Hibernation"
"BD-11560","Brendan Dodson","279","2","320.54","1","1","1","111","Hibernation"
"AG-10270","Alejandro Grove","279","5","2582.9","1","2","3","123","Hibernation"
"DH-13075","Dave Hallsten","278","6","4932.87","1","3","4","134","At Risk"
"MS-17365","Maribeth Schnelling","274","10","7443.68","1","4","4","144","At Risk"
"BS-11800","Bryan Spruell","266","2","949.43","1","1","1","111","Hibernation"
"MG-18205","Mitch Gastineau","265","1","16.740000000000002","1","1","1","111","Hibernation"
"DB-13360","Dennis Bolton","265","5","1081.47","1","2","1","121","Hibernation"
"AA-10480","Andrew Allen","260","4","1790.51","1","1","2","112","Hibernation"
"CV-12295","Christina VanderZanden","255","5","2830.63","1","2","3","123","Hibernation"
"BE-11455","Brad Eason","255","6","1727.6499999999999","1","2","2","122","Hibernation"
"SJ-20500","Shirley Jackson","254","5","1318.77","1","2","2","122","Hibernation"
"LL-16840","Lauren Leatherbury","250","6","2741.2","1","3","3","133","At Risk"
"HM-14980","Henry MacAllister","248","4","736.28","1","1","1","111","Hibernation"
"NM-18520","Neoma Murray","245","10","2161.98","1","4","2","142","At Risk"
"DW-13585","Dorothy Wardle","243","7","1204.85","1","3","2","132","At Risk"
"DB-12970","Darren Budd","242","5","2839.23","1","2","3","123","Hibernation"
"MK-18160","Mike Kennedy","241","4","1031.6000000000001","1","1","1","111","Hibernation"
"LH-17020","Lisa Hazard","240","4","318.23","1","1","1","111","Hibernation"
"TS-21655","Trudy Schmidt","239","5","3368.08","1","2","3","123","Hibernation"
"PS-19045","Penelope Sewall","237","7","6843.63","1","3","4","134","At Risk"
"AC-10420","Alyssa Crouse","233","3","925.8000000000001","1","1","1","111","Hibernation"
"CS-12175","Charles Sheldon","233","5","844.46","1","2","1","121","Hibernation"
"AH-10465","Amy Hunt","231","5","2495.4","1","2","3","123","Hibernation"
"KB-16585","Ken Black","231","12","2744.7400000000002","1","4","3","143","At Risk"
"SG-20890","Susan Gilcrest","227","3","47.949999999999996","1","1","1","111","Hibernation"
"TS-21340","Toby Swindell","227","5","974.78","1","2","1","121","Hibernation"
"JF-15295","Jason Fortune-","226","5","955.12","1","2","1","121","Hibernation"
"NC-18340","Nat Carroll","225","5","2461.41","1","2","3","123","Hibernation"
"JG-15805","John Grady","224","6","1507.02","1","2","2","122","Hibernation"
"VS-21820","Vivek Sundaresam","222","4","1055.99","1","1","1","111","Hibernation"
"BM-11785","Bryan Mills","219","10","1338.82","1","4","2","142","At Risk"
"DW-13480","Dianna Wilson","218","5","5271.63","1","2","4","124","Hibernation"
"DN-13690","Duane Noonan","218","7","2139.79","1","3","2","132","At Risk"
"EH-13945","Eric Hoffmann","218","8","684.18","1","3","1","131","At Risk"
"JO-15550","Jesus Ocampo","216","5","1090.85","1","2","1","121","Hibernation"
"BW-11065","Barry Weirich","213","3","385.51","1","1","1","111","Hibernation"
"FH-14350","Fred Harton","213","4","2271.29","1","1","3","113","Hibernation"
"NR-18550","Nick Radford","211","5","2367.27","1","2","3","123","Hibernation"
"LW-17125","Liz Willingham","206","3","1259.04","1","1","2","112","Hibernation"
"NC-18625","Noah Childs","205","5","1821.75","1","2","2","122","Hibernation"
"MT-18070","Michelle Tran","204","4","1319.4399999999998","1","1","2","112","Hibernation"
"BW-11200","Ben Wallace","204","6","1738.41","1","2","2","122","Hibernation"
"ZD-21925","Zuschuss Donatelli","203","5","1493.94","1","2","2","122","Hibernation"
"TB-21400","Tom Boeckenhauer","203","7","9133.99","1","3","4","134","At Risk"
"BC-11125","Becky Castell","203","9","2933.67","1","4","3","143","At Risk"
"SB-20170","Sarah Bern","202","3","1348.02","1","1","2","112","Hibernation"
"SD-20485","Shirley Daniels","201","9","6121.099999999999","1","4","4","144","At Risk"
"TS-21205","Thomas Seio","199","7","5371.11","1","3","4","134","At Risk"
"CB-12535","Claudia Bergmann","198","8","4246.46","1","4","4","144","At Risk"
"PF-19165","Philip Fox","197","6","2770","1","3","3","133","At Risk"
"SR-20740","Steven Roelle","197","8","4345.88","1","4","4","144","At Risk"
"TR-21325","Toby Ritter","194","5","675.9399999999999","1","2","1","121","Hibernation"
"JE-15475","Jeremy Ellison","194","6","1388.69","1","2","2","122","Hibernation"
"AS-10240","Alan Shonely","193","7","584.62","1","3","1","131","At Risk"
"MC-17635","Matthew Clasen","190","4","795.15","1","1","1","111","Hibernation"
"NH-18610","Nicole Hansen","190","7","2673.29","1","3","3","133","At Risk"
"CJ-12010","Caroline Jumper","190","8","11164.97","1","4","4","144","At Risk"
"SB-20185","Sarah Brown","189","6","6411","1","3","4","134","At Risk"
"DB-13405","Denny Blanton","188","4","1711.69","1","1","2","112","Hibernation"
"SC-20260","Scott Cohen","188","8","3729.7999999999997","1","4","3","143","At Risk"
"SC-20725","Steven Cartwright","188","11","5226.2","1","4","4","144","At Risk"
"MA-17995","Michelle Arnett","187","6","2453.29","1","2","3","123","Hibernation"
"AA-10315","Alex Avila","185","5","5563.56","1","2","4","124","Hibernation"
"FC-14335","Fred Chung","185","7","3889.36","1","3","4","134","At Risk"
"ND-18460","Neil Ducich","184","6","2893.46","1","3","3","133","At Risk"
"TT-21220","Thomas Thornton","184","8","1427.05","1","3","2","132","At Risk"
"SG-20470","Sheri Gordon","184","8","1884.8000000000002","1","3","2","132","At Risk"
"MO-17950","Michael Oakman","181","2","154.29","2","1","1","211","Hibernation"
"JK-15640","Jim Kriz","181","9","4760.44","2","4","4","244","At Risk"
"RD-19585","Rob Dowd","181","10","2912.9","2","4","3","243","At Risk"
"LS-16945","Linda Southworth","179","6","2845.27","2","3","3","233","At Risk"
"JC-15385","Jenna Caffey","176","1","1058.1100000000001","2","1","1","211","Hibernation"
"JH-15820","John Huston","175","6","528.92","2","2","1","221","Hibernation"
"NS-18640","Noel Staavos","175","13","2964.8199999999997","2","4","3","243","At Risk"
"TS-21430","Tom Stivers","173","5","2054.14","2","2","2","222","Hibernation"
"NW-18400","Natalie Webber","173","7","7234.02","2","3","4","234","At Risk"
"RR-19525","Rick Reed","171","6","3302.2599999999998","2","3","3","233","At Risk"
"MM-17260","Magdelene Morse","169","4","1314.02","2","1","2","212","Hibernation"
"AJ-10795","Anthony Johnson","167","7","4501.39","2","3","4","234","At Risk"
"AB-10255","Alejandro Ballentine","167","9","914.53","2","4","1","241","At Risk"
"SW-20350","Sean Wendt","163","3","1019.04","2","1","1","211","Hibernation"
"CS-11860","Cari Schnelling","163","6","537.63","2","2","1","221","Hibernation"
"SW-20455","Shaun Weien","163","7","2921.54","2","3","3","233","At Risk"
"AM-10705","Anne McFarland","163","8","5664.02","2","4","4","244","At Risk"
"EB-13930","Eric Barreto","162","5","944.6","2","2","1","221","Hibernation"
"AZ-10750","Annie Zypern","161","6","1622.03","2","2","2","222","Hibernation"
"NM-18445","Nathan Mautz","161","7","6459.34","2","3","4","234","At Risk"
"CP-12340","Christine Phan","161","8","5888.3","2","4","4","244","At Risk"
"PO-19180","Philisse Overcash","161","9","4893.05","2","4","4","244","At Risk"
"HR-14830","Harold Ryan","160","7","5248.8","2","3","4","234","At Risk"
"EM-14200","Evan Minnotte","159","3","366.83","2","1","1","211","Hibernation"
"JC-15775","John Castell","159","9","2772.06","2","4","3","243","At Risk"
"GZ-14545","George Zrebassa","158","4","2454.62","2","1","3","213","Hibernation"
"MH-17620","Matt Hagelstein","156","4","1252.8","2","1","2","212","Hibernation"
"VG-21790","Vivek Gonzalez","155","6","846.02","2","2","1","221","Hibernation"
"LA-16780","Laura Armstrong","155","11","8673.23","2","4","4","244","At Risk"
"TC-21475","Tony Chapman","154","9","1244.98","2","4","2","242","At Risk"
"GM-14680","Greg Matthias","153","6","3163.6299999999997","2","3","3","233","At Risk"
"LB-16795","Laurel Beltran","153","8","4985.68","2","4","4","244","At Risk"
"EH-14125","Eugene Hildebrand","153","10","3082.64","2","4","3","243","At Risk"
"EA-14035","Erin Ashbrook","153","13","2846.71","2","4","3","243","At Risk"
"LH-16750","Larry Hughes","152","3","287.43","2","1","1","211","Hibernation"
"EM-13960","Eric Murdock","152","5","933.6999999999999","2","2","1","221","Hibernation"
"HK-14890","Heather Kirkland","152","8","4877.8","2","4","4","244","At Risk"
"SC-20230","Scot Coram","150","4","4371.96","2","1","4","214","Hibernation"
"GA-14515","George Ashbrook","150","8","3919.77","2","4","4","244","At Risk"
"TB-21355","Todd Boyes","147","5","834.33","2","2","1","221","Hibernation"
"FM-14380","Fred McMath","146","9","2523.26","2","4","3","243","At Risk"
"IL-15100","Ivan Liston","143","7","5040.74","2","3","4","234","At Risk"
"NP-18700","Nora Preis","139","7","7903.18","2","3","4","234","At Risk"
"BO-11350","Bill Overfelt","138","5","2682.73","2","2","3","223","Hibernation"
"ED-13885","Emily Ducich","136","8","3484.9100000000003","2","4","3","243","At Risk"
"EH-13765","Edward Hooks","136","12","10310.87","2","4","4","244","At Risk"
"PJ-19015","Pauline Johnson","135","7","1824.23","2","3","2","232","At Risk"
"DO-13435","Denny Ordway","134","9","1300.03","2","4","2","242","At Risk"
"LR-17035","Lisa Ryan","133","5","1879.3","2","2","2","222","Hibernation"
"EM-13810","Eleni McCrary","133","5","2567","2","2","3","223","Hibernation"
"SC-20845","Sung Chung","132","2","280.63","2","1","1","211","Hibernation"
"CM-11815","Candace McMahon","132","6","1673.89","2","2","2","222","Hibernation"
"TM-21490","Tony Molinari","131","3","1094.68","2","1","1","211","Hibernation"
"HJ-14875","Heather Jas","127","5","358.1","2","2","1","221","Hibernation"
"SC-20680","Steve Carroll","127","6","1254.64","2","2","2","222","Hibernation"
"DP-13000","Darren Powers","127","9","1050.63","2","4","1","241","At Risk"
"MR-17545","Mathew Reese","126","4","639.1800000000001","2","1","1","211","Hibernation"
"AR-10405","Allen Rosenblatt","126","5","2236.12","2","2","2","222","Hibernation"
"ST-20530","Shui Tom","126","7","433.34","2","3","1","231","At Risk"
"BW-11110","Bart Watters","122","8","4750.36","2","4","4","244","At Risk"
"RL-19615","Rob Lucas","122","8","6234.91","2","4","4","244","At Risk"
"MS-17770","Maxwell Schwartz","122","9","3144.67","2","4","3","243","At Risk"
"JF-15490","Jeremy Farry","122","11","1082.92","2","4","1","241","At Risk"
"SS-20875","Sung Shariari","121","5","964.63","2","2","1","221","Hibernation"
"CK-12325","Christine Kargatis","121","5","2945.32","2","2","3","223","Hibernation"
"CA-12775","Cynthia Arntzen","121","7","3041.58","2","3","3","233","At Risk"
"RW-19540","Rick Wilson","121","7","7397.400000000001","2","3","4","234","At Risk"
"RK-19300","Ralph Kennedy","120","3","1460.19","2","1","2","212","Hibernation"
"JS-15595","Jill Stevenson","120","4","1417.65","2","1","2","212","Hibernation"
"Dl-13600","Dorris liebe","120","5","755.6","2","2","1","221","Hibernation"
"TB-21055","Ted Butterfield","120","5","1467.89","2","2","2","222","Hibernation"
"JL-15235","Janet Lee","120","5","2203.7","2","2","2","222","Hibernation"
"BE-11335","Bill Eplett","120","5","4204.68","2","2","4","224","Hibernation"
"MH-17290","Marc Harrigan","120","6","2394.02","2","2","3","223","Hibernation"
"AG-10300","Aleksandra Gannaway","119","4","367.55","2","1","1","211","Hibernation"
"KB-16405","Katrina Bavinger","118","3","908.8199999999999","2","1","1","211","Hibernation"
"GM-14695","Greg Maxwell","118","3","6049.96","2","1","4","214","Hibernation"
"VM-21835","Vivian Mathis","118","5","380.69","2","2","1","221","Hibernation"
"JD-15790","John Dryer","118","5","2152.35","2","2","2","222","Hibernation"
"MD-17350","Maribeth Dona","118","7","3766.4","2","3","3","233","At Risk"
"TH-21235","Tiffany House","118","8","1022.21","2","3","1","231","At Risk"
"HW-14935","Helen Wasserman","118","8","9300.25","2","4","4","244","At Risk"
"JK-16120","Julie Kriz","118","10","2932.49","2","4","3","243","At Risk"
"MG-17875","Michael Grace","117","5","1242.84","2","2","2","222","Hibernation"
"JC-15340","Jasper Cacioppo","115","4","71.27","2","1","1","211","Hibernation"
"TG-21640","Trudy Glocke","115","4","2074.67","2","1","2","212","Hibernation"
"AG-10390","Allen Goldenen","115","5","200.95","2","1","1","211","Hibernation"
"PF-19225","Phillip Flathmann","115","5","2206.12","2","2","2","222","Hibernation"
"RD-19660","Robert Dilbeck","115","5","2786.63","2","2","3","223","Hibernation"
"DM-12955","Dario Medina","115","7","1322.03","2","3","2","232","At Risk"
"NF-18595","Nicole Fjeld","115","7","2031.48","2","3","2","232","At Risk"
"RD-19900","Ruben Dartt","115","9","3133.92","2","4","3","243","At Risk"
"EM-14095","Eudokia Martin","114","4","1041.04","2","1","1","211","Hibernation"
"EB-14110","Eugene Barchas","114","6","3071.14","2","3","3","233","At Risk"
"JD-16015","Joy Daniels","113","6","385.43","2","2","1","221","Hibernation"
"MC-17605","Matt Connell","113","8","2258.2","2","3","3","233","At Risk"
"GK-14620","Grace Kelly","113","9","6497.28","2","4","4","244","At Risk"
"KD-16495","Keith Dawkins","113","12","8181.240000000001","2","4","4","244","At Risk"
"AR-10345","Alex Russell","112","4","1055.69","2","1","1","211","Hibernation"
"SN-20560","Skye Norling","112","6","1860.42","2","2","2","222","Hibernation"
"RC-19960","Ryan Crowe","111","6","885.75","2","2","1","221","Hibernation"
"SS-20410","Shahid Shariari","111","6","3056.81","2","3","3","233","At Risk"
"JM-15865","John Murray","110","7","7625.070000000001","2","3","4","234","At Risk"
"SG-20605","Speros Goranitis","109","6","3124.84","2","3","3","233","At Risk"
"PS-18760","Pamela Stobb","108","6","2181.48","2","2","2","222","Hibernation"
"DB-13555","Dorothy Badders","108","7","3908.8","2","3","4","234","At Risk"
"TB-21520","Tracy Blumstein","108","9","4737.48","2","4","4","244","At Risk"
"TC-21145","Theresa Coyne","107","1","1038.26","2","1","1","211","Hibernation"
"CL-11890","Carl Ludwig","107","4","1262.01","2","1","2","212","Hibernation"
"CC-12145","Charles Crestani","107","7","2471.65","2","3","3","233","At Risk"
"GM-14500","Gene McClure","107","10","1255.68","2","4","2","242","At Risk"
"BB-10990","Barry Blumstein","106","5","744.3299999999999","2","2","1","221","Hibernation"
"CL-12700","Craig Leslie","106","5","2353.59","2","2","3","223","Hibernation"
"EH-14185","Evan Henry","106","6","923.88","2","2","1","221","Hibernation"
"JF-15355","Jay Fein","106","6","1911.84","2","2","2","222","Hibernation"
"TP-21415","Tom Prescott","105","5","5328.9800000000005","2","2","4","224","Hibernation"
"MO-17800","Meg O'Connel","105","8","1687.03","2","3","2","232","At Risk"
"PA-19060","Pete Armstrong","104","6","729.41","2","2","1","221","Hibernation"
"TM-21010","Tamara Manning","104","8","2955.23","2","3","3","233","At Risk"
"JM-15535","Jessica Myrick","103","7","1733.45","2","3","2","232","At Risk"
"JP-16135","Julie Prescott","103","9","1707.71","2","4","2","242","At Risk"
"SV-20365","Seth Vernon","102","10","11470.94","2","4","4","244","At Risk"
"ML-18265","Muhammed Lee","101","2","162.23000000000002","2","1","1","211","Hibernation"
"BM-11575","Brendan Murry","101","6","808.16","2","2","1","221","Hibernation"
"DL-12865","Dan Lawera","101","8","1503.12","2","3","2","232","At Risk"
"EB-13870","Emily Burns","101","10","2767.2200000000003","2","4","3","243","At Risk"
"KT-16480","Kean Thornton","101","10","4642.1","2","4","4","244","At Risk"
"MG-17890","Michael Granlund","100","9","776.39","2","4","1","241","At Risk"
"DW-13540","Don Weiss","99","5","344.08","2","2","1","221","Hibernation"
"BE-11410","Bobby Elias","99","5","2261.44","2","2","3","223","Hibernation"
"MH-17785","Maya Herman","99","7","2203.78","2","3","2","232","At Risk"
"KN-16705","Kristina Nunn","99","8","2280.58","2","3","3","233","At Risk"
"AP-10915","Arthur Prichep","99","10","3323.55","2","4","3","243","At Risk"
"KC-16540","Kelly Collister","98","4","3908.27","2","1","4","214","Hibernation"
"FA-14230","Frank Atkinson","98","7","2984.05","2","3","3","233","At Risk"
"BD-11605","Brian Dahlen","98","7","3288.48","2","3","3","233","At Risk"
"AG-10675","Anna Gayman","98","7","3489.06","2","3","3","233","At Risk"
"KF-16285","Karen Ferguson","98","7","10604.26","2","3","4","234","At Risk"
"PB-19150","Philip Brown","98","8","1456.95","2","3","2","232","At Risk"
"PP-18955","Paul Prost","98","10","7252.61","2","4","4","244","At Risk"
"KW-16435","Katrina Willman","97","5","4416.52","2","2","4","224","Hibernation"
"LS-17200","Luke Schmidt","97","6","1010.25","2","2","1","221","Hibernation"
"CA-11965","Carol Adams","97","6","3789.7200000000003","2","3","4","234","At Risk"
"RB-19360","Raymond Buch","97","6","15117.349999999999","2","3","4","234","At Risk"
"CT-11995","Carol Triggs","97","8","3241.9","2","3","3","233","At Risk"
"AG-10900","Arthur Gainer","97","10","4510.79","2","4","4","244","At Risk"
"SJ-20125","Sanjit Jacobs","96","12","3949.65","2","4","4","244","At Risk"
"DS-13030","Darrin Sayre","94","4","1762.21","2","1","2","212","Hibernation"
"BD-11725","Bruce Degenhardt","94","6","1526.5","2","2","2","222","Hibernation"
"ME-18010","Michelle Ellison","93","4","1256.95","2","1","2","212","Hibernation"
"MG-17680","Maureen Gastineau","93","4","2350.2000000000003","2","1","3","213","Hibernation"
"SC-20575","Sonia Cooley","93","5","902.73","2","2","1","221","Hibernation"
"JO-15280","Jas O'Carroll","93","6","1934.27","2","2","2","222","Hibernation"
